Category,Name,Measurement,KJ_Per_mea,Protein,Fat,Sat.Fat,Fiber,Carbs
VG,Eggplant,cup,126,2,0,0,1,9
VG,"Fried potato",cup,1495,5,19,8,1,44
VG,Kale,cup,188,4,1,0,1,8
VG,Lentils,cup,887,15,0,0,2,38
VG,Lettuce,quantity,236,4,0,0,2,8
VG,"Mashed potato",cup,962,4,12,11,1,28
VG,"Mustard greens",quantity,126,3,0,0,1,6
VG,Okra,cup,101,1,0,0,1,5.26
VG,Onions,quantity,335,2,0,0,2,18
VG,Parsnips,cup,397,2,1,0,3,22
VG,Peas,cup,276,3,0,0,0,13
VG,"Potato chips",gram,23,0,1,0,0,1
VG,Radishes,quantity,8,0,0,0,0,0.4
VG,Soybeans,cup,1088,22,11,0,3,20
VG,Spinach,cup,109,3,0,0,1,3
VG,Squash,cup,146,1,0,0,1,8
VG,"Sweet potatoes",quantity,649,2,1,0,1,36
VG,Tomatoes,cup,209,2,0,0,1,9
